	SRR7217923	SRR7217925	SRR7217927	SRR7217929
slyD	473	479	471	412
yheV	1	0	0	1
kefB	12	10	14	9
kefG	0	2	2	1
yheS	88	86	62	45
yheT	20	25	15	12
yheU	0	0	0	0
prkB	20	29	38	43
yhfA	14	16	25	27
crp	230	218	296	282
yhfK	107	66	108	71
argD	11	17	8	9
pabA	6	6	7	0
fic	7	5	10	6
yhfG	0	0	1	0
ppiA	65	49	51	42
tsgA	9	16	6	7
nirB	97	113	303	370
nirD	7	4	7	7
nirC	9	11	20	15
cysG	23	24	28	26
yhfL	0	0	0	0
frlA	0	2	2	1
frlB	1	4	6	4
frlC	3	0	2	3
frlD	6	2	2	5
frlR	20	20	24	23
yhfS	1	1	8	4
yhfT	0	1	1	2
yhfU	0	0	0	0
php	2	1	3	0
yhfW	0	3	2	0
yhfX	0	0	0	1
yhfY	0	0	0	1
yhfZ	5	6	9	5
trpS	74	89	66	65
gph	33	47	40	33
rpe	41	33	42	25
dam	49	38	23	21
damX	185	216	153	163
aroB	184	165	162	122
aroK	83	65	83	48
hofQ	0	5	1	4
hofP	0	0	0	0
hofO	0	0	0	0
hofN	0	0	1	0
hofM	0	1	2	3
mrcA	59	42	24	15
nudE	36	29	23	22
igaA	53	34	45	26
yrfG	25	18	19	8
hslR	9	7	7	2
hslO	45	58	39	32
yhgE	11	18	20	31
pck	2711	2550	4297	5277
envZ	87	80	115	108
ompR	87	104	134	142
greB	5	6	3	5
yhgF	91	86	55	57
feoA	1	0	1	1
feoB	64	83	123	108
feoC	0	0	0	0
rpnA	6	3	8	3
bioH	12	18	16	26
yhgH	17	6	11	29
nfuA	79	55	40	31
gntT	22	22	38	33
malQ	311	314	642	739
malP	517	497	998	1132
malT	286	319	520	468
rtcA	5	3	9	12
rtcB	9	2	4	4
rtcR	5	2	6	10
glpG	41	27	26	12
glpE	5	4	3	5
glpD	2475	2531	4334	4979
yzgL	2	4	11	3
glgP	388	318	537	652
glgA	215	195	390	419
glgC	256	220	438	524
glgX	151	122	224	292
glgB	193	162	265	287
asd	109	110	190	217
yhgN	10	8	1	4
gntU	12	8	20	17
gntK	2	2	6	7
gntR	64	71	104	90
yhhW	12	14	25	32
yhhX	132	111	210	193
ryhB	0	0	0	0
yhhY	3	3	5	7
yhhZ	1	0	0	0
insA-6	0	0	0	0
insB-6	0	0	0	0
yrhD	0	0	0	0
yrhB	0	0	0	0
ggt	27	25	15	21
yhhA	7	6	8	24
ugpQ	14	5	14	10
ugpC	6	4	1	6
ugpE	1	0	0	0
ugpA	1	1	2	2
ugpB	9	5	7	10
livF	1	0	0	1
livG	2	1	0	0
livM	6	0	3	2
livH	3	1	1	0
livK	6	3	5	1
panZ	11	8	17	20
livJ	1	1	3	1
rpoH	239	228	258	231
ftsX	52	49	53	44
ftsE	19	17	28	19
ftsY	92	104	85	55
rsmD	11	13	15	17
yhhL	0	0	0	0
yhhM	3	3	3	3
yhhN	33	15	33	38
zntA	116	126	255	266
tusA	1	0	2	2
yhhQ	5	7	4	3
dcrB	141	148	248	312
yhhS	18	14	28	26
yhhT	8	0	6	3
acpT	22	9	15	9
nikA	79	94	203	201
nikB	27	9	39	64
nikC	13	22	27	34
nikD	16	12	29	39
nikE	28	19	33	32
nikR	3	1	7	3
rhsB	22.5	15.5	16.5	27
yhhH	0	0	0	0
yhhI	1	0	1	1
yhhJ	26	10	28	42
rbbA	92	67	167	191
yhiI	42	35	64	83
yhiJ	1	1	3	1
yhiM	2	2	2	1
yhiN	34	32	24	17
pitA	227	243	174	166
uspB	1	1	1	5
uspA	182	177	403	573
dtpB	240	216	369	437
rsmJ	7	10	16	14
prlC	106	126	125	124
rlmJ	55	44	57	48
gor	157	166	179	193
dinQ	0	0	0	0
agrA	0	0	0	0
agrB	0	0	0	0
arsR	3	1	0	0
arsB	4	5	1	1
arsC	0	0	0	1
insH-11	0	0	0	0
slp	17	15	29	23
dctR	0	0	0	0
yhiD	4	0	0	0
hdeB	0	0	1	2
hdeA	11	7	8	17
hdeD	4	4	14	8
arrS	0	0	0	0
gadE	0	1	2	0
gadF	0	0	0	0
mdtE	3	2	2	2
mdtF	18	12	9	23
gadW	4	2	9	2
gadY	0	0	0	0
gadX	25	18	34	20
gadA	2.5	3.5	8.5	6
ccp	30	12	49	46
treF	8	10	12	14
yhjB	3	1	1	1
yhjC	2	4	4	1
yhjD	22	10	19	25
yhjE	2	0	1	3
yhjG	15	10	24	17
pdeH	0	1	1	0
kdgK	24	25	48	53
yhjJ	67	45	78	39
dctA	216	219	202	175
pdeK	29	20	23	27
bcsC	12	22	19	19
bcsZ	0	1	1	1
bcsB	6	10	5	4
bcsA	8	3	6	7
yhjR	0	0	0	0
bcsE	103	74	137	139
bcsF	1	0	0	0
bcsG	52	43	82	50
ldrD	0	0	0	0
rdlD	0	0	0	0
yhjV	22	14	8	12
dppF	12	12	13	21
dppD	12	13	9	15
dppC	11	7	17	17
dppB	18	7	7	7
dppA	295	166	422	377
proK	0	0	0	0
eptB	118	89	77	76
yhjX	1	2	0	2
yhjY	10	7	9	7
tag	13	7	19	23
yiaC	2	4	4	3
bisC	35	49	34	37
yiaD	12	11	6	6
ghrB	137	117	175	151
yiaF	129	98	134	140
yiaG	0	0	0	1
cspA	145	128	76	70
hokA	0	0	0	0
insJ	1	2	0	2
insK	2	2	1	1
glyS	711	818	609	664
glyQ	284	276	240	260
ysaB	0	1	0	1
wecH	2	1	2	5
yiaA	0	0	0	0
yiaB	0	0	1	0
xylB	3	1	3	5
xylA	1	2	8	9
xylF	6	6	2	8
xylG	3	5	4	3
xylH	3	1	2	5
xylR	11	8	7	7
bax	144	88	105	66
malS	11	4	21	18
avtA	66	58	54	28
ysaA	23	33	68	78
yiaJ	19	16	20	18
yiaK	1	0	1	1
yiaL	0	0	0	0
yiaM	0	0	0	0
yiaN	1	1	2	0
yiaO	1	1	1	2
lyxK	3	1	3	1
sgbH	0	0	1	0
sgbU	0	0	2	1
sgbE	3	0	0	0
yiaT	0	0	0	0
yiaU	7	8	8	7
yiaV	0	1	1	0
yiaW	0	0	1	0
aldB	33	21	61	65
yiaY	0	1	0	0
selB	208	163	334	324
selA	126	125	238	235
yibF	8	8	12	24
rhsA	18.5	17.5	15.5	18
yibA	0	0	1	1
yibG	0	0	0	0
yibV	0	0	0	0
yibH	3	0	2	3
yibI	1	0	0	0
mtlA	76	74	120	146
mtlD	76	59	122	156
mtlR	22	16	15	18
yibT	1	0	1	4
yibL	22	15	18	18
lldP	570	519	75	75
lldR	113	76	17	15
lldD	197	150	56	44
trmL	18	8	7	9
cysE	94	49	64	47
gpsA	319	303	334	341
secB	138	105	154	191
grxC	4	4	7	7
yibN	52	51	45	53
gpmM	563	537	992	1145
envC	82	79	77	55
yibQ	18	18	18	19
waaH	2	1	2	4
tdh	411	390	682	757
kbl	514	526	961	1102
htrL	46	36	42	14
rfaD	141	149	175	199
waaF	99	78	116	80
waaC	43	36	39	37
waaL	73	81	61	27
waaU	43	26	37	16
waaZ	25	29	20	11
waaY	29	16	24	12
waaJ	32	29	30	19
waaO	35	31	18	15
waaB	31	33	20	25
waaS	18	27	21	5
waaP	18	20	11	12
waaG	49	47	27	21
waaQ	53	47	42	35
waaA	57	49	46	34
coaD	11	8	9	6
mutM	10	4	4	5
rpmG	4	18	6	2
rpmB	56	50	22	25
yicR	5	8	5	16
dfp	92	83	101	78
dut	31	31	33	28
slmA	51	44	39	16
pyrE	1	2	5	0
rph	79	72	51	47
yicC	115	105	117	113
dinD	7	11	13	18
yicG	33	23	36	38
ligB	3	4	15	19
gmk	134	87	87	100
rpoZ	7	7	9	9
spoT	356	269	234	200
trmH	29	28	10	26
recG	58	61	36	44
gltS	39	64	49	51
xanP	13	37	2	8
yicH	53	57	76	64
yicI	10	8	9	9
yicJ	0	1	1	3
selC	0	0	0	0
setC	0	0	0	0
yicL	18	11	15	19
nlpA	3	3	8	11
yicS	0	0	0	0
nepI	20	6	7	5
yicN	11	8	5	7
adeQ	0	1	0	0
adeD	21	24	34	38
uhpT	1	2	3	0
uhpC	2	2	2	2
uhpB	12	13	5	11
uhpA	6	11	15	5
ilvN	1	0	1	0
ilvB	23	18	23	18
ivbL	0	0	0	0
istR	0	0	0	0
tisB	0	0	0	0
emrD	26	17	31	13
yidF	6	8	25	34
yidG	0	1	0	1
yidH	1	1	1	1
yidI	2	3	4	6
yidJ	2	2	5	4
yidK	1	0	2	1
yidL	1	0	0	2
glvG	0	2	3	2
glvB	1	0	0	0
glvC	0	1	1	0
yidP	1	1	1	0
yidE	65	49	135	161
ibpB	0	1	1	1
ibpA	6	4	5	2
yidQ	3	6	8	10
yidR	36	33	42	47
cbrA	1	1	0	0
dgoT	3	1	0	7
dgoD	6	4	1	7
dgoA	2	1	6	1
dgoK	1	5	5	15
dgoR	7	3	12	16
yidX	4	3	3	3
yidA	88	91	127	139
yidB	1	0	2	0
gyrB	394	383	303	329
recF	21	34	18	15
dnaN	91	76	66	76
dnaA	241	134	154	138
ysdD	0	0	0	0
rpmH	0	2	2	1
rnpA	50	32	18	16
yidD	13	20	4	6
yidC	825	843	380	355
mnmE	62	56	40	43
tnaC	0	0	0	1
tnaA	14383	11299	22885	25705
tnaB	1679	1117	2450	2706
mdtL	25	10	19	17
yidZ	14	11	18	6
yieE	95	94	238	261
yieF	131	99	216	259
adeP	151	180	74	76
yieH	6	8	5	3
cbrB	1	1	0	0
cbrC	2	1	5	3
yieK	1	2	2	1
yieL	2	0	1	0
bglH	0	0	0	0
bglB	0	2	1	1
bglF	20	9	20	11
bglG	0	0	0	0
phoU	16	16	20	24
pstB	11	8	6	6
pstA	2	7	5	5
pstC	5	3	6	6
pstS	10	10	11	15
glmS	550	641	574	596
glmU	566	432	488	448
atpC	144	142	100	110
atpD	1769	1959	1276	1273
atpG	763	769	420	410
atpA	2262	2347	1127	1223
atpH	319	284	180	151
atpF	321	286	158	181
atpE	17	16	11	13
atpB	455	394	200	171
atpI	47	37	20	19
rsmG	12	11	13	5
mnmG	190	177	115	84
mioC	78	44	61	31
asnC	4	3	1	0
asnA	27	16	17	27
viaA	75	65	155	147
ravA	90	137	262	320
kup	28	24	37	38
rbsD	2	7	26	27
rbsA	44	55	68	71
rbsC	70	54	104	107
rbsB	290	272	560	611
rbsK	91	89	155	143
rbsR	17	10	36	16
hsrA	30	22	60	46
yieP	72	71	131	131
rrsC	74.5	23	25	23
gltU	0	0	0	0
rrlC	128.5	51	49	35
rrfC	0	0	0	0
aspT	0	0	0	0
trpT	0	0	0	0
hdfR	47	29	34	54
maoP	30	29	25	23
yifB	6	3	13	18
ilvL	0	0	0	0
ilvX	0	0	0	0
ilvM	0	0	0	0
ilvE	13	11	27	19
ilvD	18	20	26	28
ilvA	20	8	29	25
ilvY	4	5	12	10
ilvC	17	18	26	33
ppiC	13	4	8	8
rep	91	65	52	39
gpp	203	166	164	168
rhlB	467	438	441	401
trxA	83	52	58	72
rhoL	0	0	0	0
rho	830	846	520	432
rfe	174	108	154	117
wzzE	91	78	78	76
wecB	65	52	54	48
wecC	85	95	73	92
rffG	48	75	57	57
rffH	46	46	50	41
rffC	15	15	9	10
wecE	54	55	54	61
wzxE	46	32	40	35
rffT	28	28	18	13
wzyE	19	20	12	5
rffM	7	17	19	11
yifK	31	30	13	11
argX	0	0	0	0
hisR	0	0	0	0
leuT	0	0	0	0
proM	0	0	0	0
aslB	3	6	6	6
aslA	4	3	9	10
glmZ	22	36	20	26
hemY	176	133	224	254
hemX	170	130	214	243
hemD	42	39	71	70
hemC	172	163	262	273
cyaA	273	222	276	256
cyaY	15	6	2.5	4
yzcX	0	0	2.5	0
yifL	0	1	0	1
dapF	74	56	79	69
yigA	47	37	63	60
xerC	43	43	44	52
yigB	26	13	29	25
uvrD	165	148	144	124
yigE	0	1	3	1
corA	60	52	32	21
yigF	2	0	0	4
yigG	0	0	0	0
rarD	31	20	10	8
yigI	4	2	2	3
pldA	47	57	41	31
recQ	109	82	70	53
rhtC	23	15	28	16
rhtB	4	2	5	1
pldB	44	43	66	62
yigL	43	44	43	37
bioP	14	23	11	7
metR	3	4	2	3
metE	21	16	32	39
ysgA	9	9	18	15
udp	248	246	562	723
rmuC	19	32	49	53
ubiE	159	109	195	169
ubiJ	50.5	44.5	59.5	52.5
esrE	1.5	0.5	0.5	0.5
ubiB	131	107	157	113
tatA	23	9	24	34
tatB	59	57	78	89
tatC	99	94	124	102
tatD	21	14	15	23
rfaH	17	7	8	7
ubiD	284	338	363	347
fre	73	71	115	91
fadA	35	19	12	4
fadB	82	54	16	11
pepQ	224	209	352	399
yigZ	33	23	58	57
trkH	68	46	56	53
hemG	21	8	13	9
rrsA	46	6	6	3
ileT	0	0	0	0
alaT	0	0	0	0
rrlA	95	43	40	27
rrfA	0	0	0	0
mobB	1	2	4	4
mobA	5	2	8	9
yihD	4	7	5	3
srkA	88	52	90	35
dsbA	129	126	125	133
yihF	4	3	4	1
yihG	20	10	11	6
polA	273	301	468	530
spf	0	0	0	0
yihA	64	57	75	81
csrC	79	81	62	88
yihI	20	17	19	26
hemN	91	80	86	111
yshB	0	0	0	0
glnG	43	40	35	42
glnL	18	38	29	36
glnA	675	454	436	414
bipA	1370	1503	563	604
yihL	6	4	10	2
yihM	10	5	11	9
yihN	2	6	2	1
ompL	0	0	0	0
yihO	0	0	2	0
yihP	2	0	1	3
yihQ	0	0	0	1
yihR	0	0	0	0
yihS	5	3	7	13
yihT	3	1	6	0
yihU	0	2	0	1
yihV	2	4	3	4
yihW	12	8	21	16
yihX	40	39	76	95
yihY	30	22	45	44
dtd	5	10	25	21
yiiD	48	29	51	59
yiiE	0	0	0	0
yiiF	0	0	0	0
fdhE	211	239	242	229
fdoI	194	190	254	279
fdoH	445	443	518	600
fdoG	2454	2584	3056	3175
fdhD	21	18	47	32
yiiG	4	2	3	4
frvR	2	2	0	3
frvX	4	5	2	0
frvB	4	2	3	0
frvA	0	1	0	2
rhaM	0	0	0	1
rhaD	2	0	0	1
rhaA	2	0	2	0
rhaB	0	1	1	1
rhaS	2	1	0	2
rhaR	2	1	7	5
rhaT	2	0	0	4
sodA	625	555	226	280
kdgT	5	3	5	5
yiiM	27	25	37	42
cpxA	79	86	97	106
cpxR	56	63	57	67
cpxP	53	19	42	28
cpxQ	0	0	0	0
fieF	37	30	51	48
pfkA	274	259	511	557
sbp	9	4	5	5
cdh	4	6	11	3
tpiA	539	513	736	830
yiiQ	12	7	12	5
yiiR	1	5	4	0
yiiS	0	1	7	2
uspD	15	3	10	15
fpr	85	70	40	37
glpX	143	143	248	230
glpK	2060	2036	4022	4489
glpF	270	327	645	675
zapB	8	8	5	14
rraA	155	165	376	376
menA	22	18	25	17
hslU	140	132	176	144
hslV	31	31	33	27
ftsN	64	63	59	50
cytR	22	34	33	25
priA	42	40	34	19
rpmE	13	29	13	29
yiiX	9	7	4	3
metJ	5	14	2	23
metB	13	9	17	12
metL	77	59	51	49
metF	3	6	2	2
katG	921	862	1615	1895
yijE	13	12	13	13
yijF	0	0	0	0
gldA	261	228	516	659
fsaB	13	12	28	37
ptsA	27	21	56	79
frwC	1	1	2	2
frwB	1	0	0	1
pflD	10	8	12	10
pflC	1	0	2	0
frwD	0	0	0	0
yijO	11	10	23	14
eptC	67	63	26	38
ppc	331	344	454	490
argE	29	27	36	31
argC	7	10	6	3
argB	8	4	5	1
argH	38	24	20	23
oxyS	0	0	0	0
oxyR	155	152	247	227
sthA	505	436	389	386
fabR	78	56	89	100
yijD	42	21	37	61
trmA	93	87	60	53
btuB	107	102	120	112
murI	42	58	67	90
rrsB	0	0	0	0
gltT	0	0	0	0
rrlB	28	6.5	6	5
rrfB	0	0	0	0
murB	72	44	44	44
birA	30	29	30	20
coaA	66	51	35	17
thrU	0	0	0	0
tyrU	1	0	0	0
glyT	0	0	0	0
thrT	0	0	0	0
tufB	3608	4014.5	3648	3699
secE	87	72	48	52
nusG	168	141	92	110
rplK	348	292	185	208
rplA	1682	1966	1008	942
rplJ	1371	1267	793	887
rplL	755	762	408	508
rpoB	2695	3370	1476	1383
rpoC	3599	4356	2556	2513
yjaZ	3	4	2	3
sroH	0	3	3	2
thiH	4	2	2	5
thiG	3	0	1	2
thiS	0	0	0	0
thiF	0	3	2	2
thiE	0	1	2	0
thiC	12	6	5	10
rsd	5	12	18	18
nudC	21	9	23	14
hemE	80	84	109	104
nfi	31	29	35	29
yjaG	41	48	42	49
hupA	35	40	41	59
yjaH	12	21	20	20
zraP	2	4	3	4
zraS	10	22	46	43
zraR	10	3	13	20
purD	51	87	22	27
purH	64	85	36	32
rrsE	0	0	0	0
gltV	0	0	0	0
rrlE	0	0	0	0
rrfE	0	0	0	0
yjaA	1	0	1	0
yjaB	0	4	4	4
metA	1	2	1	3
aceB	156	128	73	76
aceA	183	176	165	181
aceK	55	26	32	21
arpA	2	1	1	0
iclR	81	59	58	48
metH	207	229	290	317
yjbB	23	38	33	21
pepE	122	122	218	237
rluF	33	22	32	19
yjbD	5	1	11	7
lysC	31	20	23	16
pgi	558	577	634	758
yjbE	0	0	0	0
yjbF	0	0	1	0
yjbG	0	0	0	1
yjbH	3	3	4	1
yjbT	0	0	0	0
psiE	0	1	0	0
xylE	2	3	2	1
malG	17	11	35	26
malF	64	44	99	100
malE	234	211	458	499
malK	36	41	100	80
lamB	235	196	376	411
malM	79	62	90	80
ubiC	8	15	9	13
ubiA	48	38	44	42
plsB	358	334	365	361
dgkA	5	5	4	13
lexA	192	223	268	313
dinF	24	25	20	36
yjbJ	1	0	1	0
zur	56	36	70	77
yjbL	0	0	0	0
yjbM	0	1	0	0
dusA	65	64	50	36
pspG	0	0	0	0
qorA	58	45	123	135
dnaB	118	101	109	79
alr	48	61	44	47
tyrB	47	59	77	74
yjbS	0	0	0	0
aphA	141	151	224	248
yjbQ	15	6	21	28
yjbR	5	2	7	21
uvrA	282	227	303	260
ssb	82	76	121	133
yjcB	0	0	1	3
pdeC	7	2	7	5
soxS	35	16	0	3
soxR	2	2	6	4
ryjA	0	0	0	0
ghxP	15	20	9	7
yjcE	33	30	80	80
yjcF	0	0	1	0
actP	31	10	5	7
yjcH	0	0	0	0
acs	70	49	15	18
nrfA	386	369	928	1106
nrfB	51	43	121	133
nrfC	71	62	157	170
nrfD	120	80	180	213
nrfE	31	23	61	54
nrfF	0	0	1	1
nrfG	1	1	5	10
gltP	88	64	44	40
yjcO	13	22	12	26
fdhF	173	176	355	382
mdtP	0	2	0	2
mdtO	0	0	2	7
mdtN	0	2	1	2
ytcA	0	0	0	0
yjcS	0	1	0	0
alsK	3	2	3	2
alsE	1	0	3	2
alsC	1	3	2	5
alsA	2	4	4	4
alsB	6	9	11	5
alsR	24	24	40	29
rpiB	0	0	0	1
yjdP	2	0	0	1
phnP	2	1	1	1
phnO	1	0	0	1
phnN	0	1	0	0
phnM	3	0	0	0
phnL	0	2	1	2
phnK	0	0	0	0
phnJ	0	0	1	0
phnI	0	0	1	0
phnH	1	0	0	0
phnG	0	0	0	0
phnF	1	0	0	0
phnD	0	0	0	0
phnC	1	0	0	0
yjdN	1	0	0	0
yjdM	6	4	4	3
crfC	9	6	9	11
yjcZ	1	1	1	1
proP	237	206	222	204
pmrR	0	0	0	0
basS	21	12	20	21
basR	13	22	35	39
eptA	2	1	1	0
adiC	5	7	8	11
adiY	15	10	28	30
adiA	6	11	16	10
melR	6	10	18	24
melA	13	14	12	19
melB	10	3	12	4
yjdF	2	2	1	2
fumB	75	56	127	142
dcuB	64	41	94	125
dcuR	22	18	27	27
dcuS	41	51	38	53
yjdI	0	0	1	0
yjdJ	0	0	0	0
ghoS	0	1	0	4
ghoT	0	0	0	0
lysU	566	538	844	921
dtpC	3	1	2	6
cadA	4	1	4	3
cadB	0	1	0	1
cadC	12	10	12	9
pheU	0.5	0	0	0
yjdC	16	15	20	12
dsbD	58	48	47	38
cutA	6	5	3	2
dcuA	1409	1270	2367	2631
aspA	3393	3830	6679	7402
fxsA	12	13	15	12
yjeH	2	6	14	7
groS	10	8	12	14
groL	818	687	757	830
yjeI	20	17	38	41
yjeJ	5	2	1	3
epmB	47	19	33	24
efp	373	275	232	176
ecnA	0	0	0	0
ecnB	1	4	0	0
gdx	2	4	4	2
blc	4	5	7	14
ampC	65	30	49	34
frdD	154	118	244	286
frdC	97	74	148	183
frdB	538	421	850	983
frdA	2367	2354	4888	5636
epmA	28	21	27	13
yjeM	10	6	14	10
yjeN	0	1	0	0
yjeO	0	0	0	0
mscM	67	49	59	43
psd	105	89	85	84
rsgA	126	118	116	121
orn	28	20	23	27
glyV	0	0	0	0
glyX	0	0	0	0
glyY	0	0	0	0
yjeV	0	0	0	0
queG	57	32	60	41
nnr	31	23	31	25
tsaE	3	6	3	4
amiB	33	23	29	24
mutL	73	70	89	72
miaA	155	150	183	181
hfq	49	46	79	82
hflX	233	182	263	222
hflK	387	390	380	419
hflC	278	292	232	292
yjeT	0	0	0	0
purA	1198	1431	1648	1611
nsrR	6	2	5	4
rnr	352	376	416	506
rlmB	54	70	56	68
yjfI	0	0	0	0
yjfJ	4	2	0	2
yjfK	0	0	0	0
yjfL	0	0	0	0
yjfM	0	2	1	1
yjfC	2	1	1	1
aidB	3	3	4	6
yjfN	2	7	17	22
bsmA	29	65	102	150
yjfP	8	10	21	18
ulaR	7	16	11	15
ulaG	3	7	2	6
ulaA	1	2	1	5
ulaB	0	0	0	0
ulaC	0	1	3	1
ulaD	2	3	4	1
ulaE	2	4	4	9
ulaF	2	1	4	4
yjfY	0	0	0	0
rpsF	302	283	146	124
priB	112	100	48	59
rpsR	15	26	7	10
rplI	877	810	367	413
yjfZ	3	1	2	2
ytfB	36	23	45	47
fklB	112	139	90	82
cycA	84	58	37	46
ytfE	19	13	30	39
ytfF	7	5	2	3
qorB	6	9	11	8
ytfH	0	0	1	0
cpdB	111	90	147	159
cysQ	31	25	65	68
ytfI	4	0	2	1
ytfJ	4	12	11	7
ytfK	4	2	7	11
ytfL	39	25	39	18
msrA	26	18	40	40
tamA	73	31	66	30
tamB	98	83	91	125
ytfP	8.5	0	9	11.5
yzfA	1.5	0	1	1.5
chpS	0	0	0	0
chpB	1	0	0	2
ppa	413	424	308	318
ytfQ	7	6	10	8
ytfR	3	0	4	6
ytfT	1	1	3	4
yjfF	3	4	5	4
fbp	222	200	168	176
mpl	187	189	187	155
yjgA	95	73	56	65
pmbA	107	102	171	161
nrdG	3	2	1	6
nrdD	82	82	151	132
treC	44	46	84	70
treB	56	70	111	96
treR	8	6	5	9
mgtL	0	0	0	0
mgtA	43	41	21	18
ridA	245	218	278	425
pyrI	4	11	13	10
pyrB	14	25	22	24
pyrL	0	0	0	0
yjgH	0	0	0	0
bdcA	2	1	5	1
bdcR	5	8	2	6
tabA	24	16	30	38
yjgL	5	5	3	1
argI	1	2	1	2
rraB	104	82	115	183
yjgM	2	3	6	5
yjgN	0	0	1	0
valS	486	485	348	335
holC	9	7	8	18
pepA	205	188	194	214
lptF	33	38	31	13
lptG	71	79	65	62
yjgR	14	10	9	15
idnR	5	2	5	3
idnT	3	4	4	3
idnO	3	3	5	2
idnD	2	0	4	7
idnK	0	5	2	3
ahr	27	12	25	42
leuX	0	0	0	0
insC-6	0	0	0	0
insD-6	0	0	0	0
yjgZ	0	0	0	0
insG	14	9	7	8
yjhB	10	5	1	2
yjhC	21	23	26	33
ythA	0	0	0	0
insI-3	6.5	2.5	5	1
fecE	18	11	7	2
fecD	26	20	11	12
fecC	29	26	11	5
fecB	58	59	13	9
fecA	256	265	59	64
fecR	4	2	1	2
fecI	3	3	0	1
insA-7	1	0	1	1
yjhU	39	39	60	64
yjhF	4	4	3	4
yjhG	11	9	18	33
yjhH	7	5	5	6
yjhI	0	1	2	2
sgcR	3	1	4	1
sgcE	4	1	2	2
sgcA	3	0	0	1
ryjB	0	0	0	0
sgcQ	0	2	6	2
sgcC	2	6	5	5
sgcB	0	0	1	0
sgcX	5	5	12	3
yjhP	5	6	9	8
yjhQ	1	1	1	7
topAI	0	2	0	2
nanS	1	1	2	1
nanM	2	3	5	6
nanC	0	1	0	0
fimB	6	2	6	6
fimE	1	1	3	0
fimA	326	321	370	397
fimI	30	24	17	15
fimC	28	20	20	14
fimD	23	24	8	14
fimF	4	0	1	4
fimG	3	0	0	2
fimH	10	2	4	8
gntP	12	11	15	26
uxuA	35	43	50	49
uxuB	44	33	33	47
uxuR	27	21	33	35
yjiC	0	0	0	0
ytiC	0	0	0	0
ytiD	0	0	0	0
idlP	0	0	0	0
iraD	1	1	2	1
hypT	16	10	14	18
iadA	57	50	60	50
yjiG	0	0	0	0
yjiH	0	0	0	0
kptA	2	3	4	9
yjiJ	1	2	5	5
yjiK	1	1	2	2
ytiA	1	0	0	0
yjiL	2	2	6	3
yjiM	10	7	26	25
yjiN	7	11	17	12
mdtM	17	10	11	12
yjiR	5	3	6	1
yjiS	0	0	0	0
yjiT	80	54	86	82
mcrC	9	14	12	5
mcrB	36	37	33	34
symE	1	1	0	0
symR	0	0	0	0
hsdS	33	37	36	21
hsdM	79	80	61	59
hsdR	467	412	820	726
mrr	7	28	29	48
yjiA	73	67	56	61
yjiX	1	3	0	2
btsT	812	666	365	438
tsr	7	5	11	5
lgoT	24	5	6	15
lgoR	8	18	19	19
lgoD	0	1	0	1
opgB	83	84	59	50
yjjA	22	11	9	11
dnaC	21	9	15	12
dnaT	9	8	6	9
yjjB	4	3	8	6
yjjP	7	5	24	25
yjjQ	0	1	0	0
bglJ	0	0	0	0
fhuF	23	18	2	0
yjjZ	0	1	0	0
leuV	0	0	0	0
leuP	0	1	0	0
leuQ	0	0	0	0
rsmC	86	91	41	45
holD	14	4	10	6
rimI	15	8	5	5
yjjG	14	17	15	12
prfC	247	238	125	125
osmY	19	11	19	24
ytjA	0	0	0	1
yjjU	0	3	1	2
yjjV	3	0	6	2
yjjW	62	66	151	185
yjjI	256	270	668	735
deoC	28	39	86	89
deoA	83	77	161	189
deoB	372	317	580	666
deoD	311	280	382	507
yjjJ	24	14	18	26
lplA	17	16	23	31
ytjB	8	3	9	7
serB	55	47	33	17
radA	58	50	34	49
nadR	23	22	22	45
ettA	300	331	239	248
slt	67	64	102	93
trpR	0	0	1	3
yjjX	8	7	10	9
ytjC	14	10	17	18
rob	182	161	290	241
creA	9	4	5	5
creB	9	8	11	17
creC	12	10	9	12
creD	2	6	3	1
arcA	240	262	442	463
yjjY	0	0	0	0
yjtD	7	6	9	15
