	SRR7217923	SRR7217925	SRR7217927	SRR7217929
nagB	149	176	309	355
nagE	732	755	1582	1662
glnS	384	392	322	314
chiP	6	6	9	6
chiQ	0	0	0	1
fur	109	85	68	67
uof	0	0	0	0
fldA	143	106	67	80
ybfE	4	1	3	5
ybfF	16	8	11	20
seqA	62	45	63	48
pgm	398	342	416	456
ybfP	0	2	0	0
potE	3	2	5	1
speF	2	3	1	1
ybfK	0	0	0	0
kdpE	4	2	7	2
kdpD	15	22	27	20
kdpC	2	1	1	1
kdpB	2	3	2	0
kdpA	0	1	0	1
kdpF	0	0	0	0
ybfA	0	2	2	1
rhsC	15	12	18	15
ybfB	0	0	0	0
ybfC	0	1	0	1
ybfQ	0	0	0	0
ybfD	1	1	0	0
ybgA	5	4	11	11
phr	20	15	33	26
dtpD	7	4	4	8
ybgI	38	26	59	85
pxpB	18	9	38	29
pxpC	35	31	63	74
pxpA	15	12	21	29
nei	11	5	13	16
abrB	8	10	39	49
ybgO	4	1	2	3
ybgP	1	0	2	0
ybgQ	1	0	1	1
ybgD	0	0	0	0
gltA	663	497	526	544
ybgU	0	0	0	0
sdhC	41	33	8	7
sdhD	13	22	2	7
sdhA	1066	838	260	296
sdhB	241	200	96	92
sucA	696	598	354	324
sucB	566	559	489	566
sucC	378	344	360	406
sucD	255	265	237	292
mngR	5	15	6	9
mngA	0	0	0	0
mngB	7	8	15	9
cydA	1720	1720	2737	2952
cydB	909	993	1564	1838
cydX	0	0	2	1
ybgE	9	10	15	12
ybgC	13	12	13	8
tolQ	48	39	27	22
tolR	7	4	5	6
tolA	50	54	31	31
tolB	226	219	151	102
pal	247	255	274	387
cpoB	147	167	142	116
lysT	0	0	0	0
valT	0	0	0	0
lysW	0	0	0	0
valZ	0	0	0	0
lysY	0	0	0	0
lysZ	0	0	0	0
lysQ	0	0	0	0
nadA	11	7	16	12
pnuC	8	7	20	21
zitB	14	11	14	14
ybgS	1	2	0	1
aroG	108	126	185	212
gpmA	340	369	445	530
galM	147	133	240	244
galK	70	88	153	173
galT	52	33	70	84
galE	60	71	77	104
modF	33	17	21	22
modE	30	32	32	37
acrZ	2	4	0	0
modA	40	33	38	31
modB	11	5	9	7
modC	12	10	26	15
